pclass,survived,sex,age,sibsp,parch,fare,embarked,deck,title,fare_per_person,fare_log,family_size,is_alone
1,1,1,29.0,0,0,211.3375,S,B,Miss,52.834375,3.985912203652597,1,1
1,1,0,0.9167,1,2,151.55,S,C,Master,25.258333333333336,3.267983398975229,4,0
1,0,1,2.0,1,2,151.55,S,C,Miss,25.258333333333336,3.267983398975229,4,0
1,0,0,30.0,1,2,151.55,S,C,Mr,25.258333333333336,3.267983398975229,4,0
1,0,1,25.0,1,2,151.55,S,C,Mrs,25.258333333333336,3.267983398975229,4,0
1,1,0,48.0,0,0,26.55,S,E,Mr,26.55,3.3160025355989236,1,1
1,1,1,63.0,1,0,77.9583,S,D,Miss,25.986099999999997,3.2953219186268687,2,0
1,0,0,39.0,0,0,61.3792,S,A,Mr,61.3792,4.133231886474144,1,1
1,1,1,53.0,2,0,51.4792,S,C,Mrs,25.7396,3.286145612698786,3,0
1,0,0,71.0,0,0,49.5042,C,Unknown,Mr,49.5042,3.922056501139853,1,1
1,0,0,47.0,1,0,227.525,C,C,Rare,45.505,3.8395598336944303,2,0
1,1,1,18.0,1,0,227.525,C,C,Mrs,45.505,3.8395598336944303,2,0
1,1,1,24.0,0,0,69.3,C,B,Mrs,34.65,3.573749146860305,1,1
1,1,1,26.0,0,0,78.85,S,Unknown,Miss,26.28333333333333,3.306276015149034,1,1
1,1,0,80.0,0,0,30.0,S,A,Mr,30.0,3.4339872044851463,1,1
1,0,0,41.5,0,0,25.925,S,Unknown,Mr,25.925,3.2930552230424524,1,1
1,0,0,24.0,0,1,247.5208,C,B,Mr,82.50693333333334,4.424929662341819,2,0
1,1,1,50.0,0,1,247.5208,C,B,Mrs,82.50693333333334,4.424929662341819,2,0
1,1,1,32.0,0,0,76.2917,C,D,Miss,38.14585,3.667294414263866,1,1
1,0,0,36.0,0,0,75.2417,C,C,Mr,37.62085,3.653792286079762,1,1
1,1,0,37.0,1,1,52.5542,S,D,Mr,26.2771,3.306047522339149,3,0
1,1,1,47.0,1,1,52.5542,S,D,Mrs,26.2771,3.306047522339149,3,0
1,1,0,26.0,0,0,30.0,C,C,Mr,30.0,3.4339872044851463,1,1
1,1,1,42.0,0,0,227.525,C,Unknown,Miss,45.505,3.8395598336944303,1,1
1,1,1,29.0,0,0,221.7792,S,C,Miss,55.4448,4.033263169435021,1,1
1,0,0,25.0,0,0,26.0,C,Unknown,Mr,26.0,3.295836866004329,1,1
1,1,0,25.0,1,0,91.0792,C,B,Mr,45.5396,3.8403035630800124,2,0
1,1,1,19.0,1,0,91.0792,C,B,Mrs,45.5396,3.8403035630800124,2,0
1,1,1,35.0,0,0,135.6333,S,C,Miss,33.908325,3.552725339444502,1,1
1,1,0,28.0,0,0,26.55,S,C,Mr,26.55,3.3160025355989236,1,1
1,0,0,45.0,0,0,35.5,S,T,Mr,35.5,3.597312260588446,1,1
1,1,0,40.0,0,0,31.0,C,A,Mr,31.0,3.4657359027997265,1,1
